Review text,Ratings,sentiment,clean_review
"Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE",4,1,nice product good quality price rising bad sign affordable price especially play everyday kindly help term price thank read
They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE,1,0,supplied yonex mavis outside cover yonex inside cheapest sad hear read
Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE,1,0,worst product damaged shuttlecock packed new box not original yonex product buy flipkart platform chosen fraud buyer read
Over pricedJust â?¹620 ..from retailer.I didn't understand.. Wat is d advantage of buying dis frm flipkrtREAD MORE,1,0,pricedjust retailer understand wat advantage buying dis frm flipkrtread
Good quality product. Delivered on time.READ MORE,5,1,good quality product delivered time read
BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE,5,1,best purchase good quality durable average shuttle shipping goodread
Good quality original shuttles.READ MORE,5,1,good quality original shuttle read
AwesomeREAD MORE,5,1,awesomeread
nice original productsREAD MORE,5,1,nice original productsread
This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE,5,1,green cap shuttlecock really awesome quality best good packing green cap shuttlecock played warm condition worth money simply loved read
Best in class....READ MORE,5,1,best class read
it's genuine and price is less than our near by shopREAD MORE,5,1,genuine price less near shopread
"This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE",1,0,second time getting opened bundle yonex mavis shuttle really believe not original product someone may switched shuttle inside bundle buy flipkart gonna return product read
really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE,5,1,really satisfied quality prompt delivery happy customer flipkart read
NycREAD MORE,5,1,nycread
I usually buy them the same model but this did not last even for a dayREAD MORE,1,0,usually buy model not last even dayread
"Poor quality, not originalREAD MORE",2,0,poor quality not originalread
Delivered on expected timeREAD MORE,5,1,delivered expected timeread
nice and original productREAD MORE,5,1,nice original productread
Very nice and Good price compare then local sports.READ MORE,5,1,nice good price compare local sport read
It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE,5,1,perfect yonex never disappoint pro feather might look little cheap first glance like quality best bottom cork amazing play open court perfectly glide around balanced base durability seems fine issue intermediate player using one shuttle since day con slightly higher range use lb racquet read
superbREAD MORE,4,1,superbread
"Looked like defective once, without balance, had to throw 4 out of 6.READ MORE",1,0,looked like defective without balance throw read
Genuine product at very reasonable price....got for Rs 630/-READ MORE,4,1,genuine product reasonable price got read
Good sealed Original Yonex ShuttlesREAD MORE,5,1,good sealed original yonex shuttlesread
They are not as expected...the head  portion break very soon...defective pieces..READ MORE,2,0,not expected head portion break soon defective piece read
I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE,4,1,giving star price hike please anyone suggest shuttle cork performance lower price read
quality is pooverREAD MORE,5,1,quality pooverread
good productREAD MORE,5,1,good productread
Good product.....READ MORE,5,1,good product read
Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE,4,1,received good condition really satisfied product not satisfied delivery boy always not coin return mean paying extra money item also know opportunity never coin return really dont like kind selfishness read
"After using, found shuttles quality are not upto the level. This box has not 3d quality sticker.READ MORE",2,0,using found shuttle quality not upto level box not quality sticker read
Local productREAD MORE,1,0,local productread
Few of shuttle just separated from base in just a single shot. Very poor qualityREAD MORE,2,0,shuttle separated base single shot poor qualityread
shuttle is over rotatingREAD MORE,2,0,shuttle rotatingread
Very bad quality.READ MORE,1,0,bad quality read
Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,1,0,worst quality shot ball started rotate read
No one better shuttles in the market.good quality and reasonable price.READ MORE,5,1,one better shuttle market good quality reasonable price read
low qualityREAD MORE,1,0,low qualityread
Superb quality... And best price.. Thanks to flipkart..!READ MORE,4,1,superb quality best price thanks flipkart read
second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,1,0,second quality shuttle buy almost torn shaped worst experience buy shop cost around read
I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,4,1,think genuine co checked official website yonex hologram number yet product not bad job well definitely comparing one original one shop near let others know difference read
Very bad quality this timeREAD MORE,1,0,bad quality timeread
"I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",1,0,received duplicate cheapest ball kept inside broken box done deleberately worst experience ever flipkart buy anything except badminton yonex mavis read
"Quality is not good, rejected qualityREAD MORE",1,0,quality not good rejected qualityread
This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,5,1,green cap shuttle good indoor well outdoor play though slow speed durable thanks great dealread
Really Nice productQuick delivery Thanks filpkartREAD MORE,5,1,really nice productquick delivery thanks filpkartread
Very nice shuttleREAD MORE,5,1,nice shuttleread
Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,1,0,horrible product shuttle last even single day extremely poor quality patheticread
Quality very low. Not orginalREAD MORE,1,0,quality low not orginalread
WorstREAD MORE,1,0,worstread
Their is difference in online quality and market quality. local market products is far better than online productsREAD MORE,1,0,difference online quality market quality local market product far better online productsread
Dont but it.... worst productREAD MORE,1,0,dont worst productread
Low quality very bad quality 😡READ MORE,1,0,low quality bad quality read
